# Standard Model thermodynamics at O(g^4) [1503.04935]                                                    
#   Disclaimer: We do not recommend taking numerical derivatives from any of the functions, but rather    
#   directly using the derivative functions listed.  Theoretical errors are on the ~ 1% level.            
# Update Dec 2019                                    
#   The decoupling of neutrinos at T < 2 MeV has been incorporated into the results.                      
# Columns:                                           
    T[MeV]    p/T^4    e/T^4    s/T^3    c/T^3    w=p/e    c_s^2    g_eff    h_eff    i_eff
    0.65722222E+02    0.15775287E+01    0.51311987E+01    0.67087274E+01    0.21701512E+02    0.30743864E+00    0.30913640E+00    0.15596974E+02    0.15294064E+02    0.16491172E+02
    0.67777778E+02    0.15897977E+01    0.51676064E+01    0.67574041E+01    0.21859059E+02    0.30764683E+00    0.30913518E+00    0.15707640E+02    0.15405034E+02    0.16610893E+02
    0.69833333E+02    0.16016949E+01    0.52033706E+01    0.68050655E+01    0.22020084E+02    0.30781873E+00    0.30903903E+00    0.15816350E+02    0.15513689E+02    0.16733258E+02
    0.71888889E+02    0.16132572E+01    0.52387093E+01    0.68519665E+01    0.22185801E+02    0.30794936E+00    0.30884467E+00    0.15923767E+02    0.15620610E+02    0.16859187E+02
    0.73944444E+02    0.16245211E+01    0.52738324E+01    0.68983535E+01    0.22357439E+02    0.30803428E+00    0.30854846E+00    0.16030528E+02    0.15726360E+02    0.16989617E+02
    0.76000000E+02    0.16355231E+01    0.53089426E+01    0.69444657E+01    0.22536156E+02    0.30806946E+00    0.30814774E+00    0.16137250E+02    0.15831483E+02    0.17125425E+02
    0.78055556E+02    0.16462988E+01    0.53442368E+01    0.69905356E+01    0.22723184E+02    0.30805125E+00    0.30763891E+00    0.16244532E+02    0.15936510E+02    0.17267549E+02
    0.80111111E+02    0.16568836E+01    0.53799075E+01    0.70367911E+01    0.22919680E+02    0.30797624E+00    0.30701961E+00    0.16352958E+02    0.16041960E+02    0.17416868E+02
    0.82166667E+02    0.16673124E+01    0.54161436E+01    0.70834559E+01    0.23126900E+02    0.30784125E+00    0.30628644E+00    0.16463102E+02    0.16148343E+02    0.17574337E+02
    0.84222222E+02    0.16776193E+01    0.54531319E+01    0.71307513E+01    0.23346054E+02    0.30764327E+00    0.30543711E+00    0.16575533E+02    0.16256164E+02    0.17740874E+02
    0.86277778E+02    0.16878383E+01    0.54910582E+01    0.71788965E+01    0.23578435E+02    0.30737942E+00    0.30446874E+00    0.16690815E+02    0.16365921E+02    0.17917462E+02
    0.88333333E+02    0.16980027E+01    0.55301078E+01    0.72281105E+01    0.23825347E+02    0.30704695E+00    0.30337902E+00    0.16809512E+02    0.16478116E+02    0.18105093E+02
    0.90388889E+02    0.17081457E+01    0.55704670E+01    0.72786128E+01    0.24088154E+02    0.30664318E+00    0.30216565E+00    0.16932189E+02    0.16593247E+02    0.18304802E+02
    0.92444444E+02    0.17183002E+01    0.56123239E+01    0.73306241E+01    0.24368256E+02    0.30616554E+00    0.30082679E+00    0.17059419E+02    0.16711819E+02    0.18517654E+02
    0.94500000E+02    0.17284988E+01    0.56558686E+01    0.73843674E+01    0.24667107E+02    0.30561155E+00    0.29936090E+00    0.17191779E+02    0.16834339E+02    0.18744753E+02
    0.96555556E+02    0.17387740E+01    0.57012945E+01    0.74400686E+01    0.24986203E+02    0.30497881E+00    0.29776707E+00    0.17329857E+02    0.16961322E+02    0.18987238E+02
    0.98611111E+02    0.17491586E+01    0.57487988E+01    0.74979575E+01    0.25327151E+02    0.30426506E+00    0.29604425E+00    0.17474253E+02    0.17093293E+02    0.19246327E+02
    0.10066667E+03    0.17596852E+01    0.57985829E+01    0.75582680E+01    0.25691514E+02    0.30346814E+00    0.29419317E+00    0.17625578E+02    0.17230785E+02    0.19523210E+02
    0.10272222E+03    0.17703865E+01    0.58508525E+01    0.76212390E+01    0.26081030E+02    0.30258607E+00    0.29221388E+00    0.17784459E+02    0.17374342E+02    0.19819206E+02
    0.10477778E+03    0.17812956E+01    0.59058191E+01    0.76871147E+01    0.26497388E+02    0.30161703E+00    0.29010839E+00    0.17951537E+02    0.17524520E+02    0.20135601E+02
    0.10683333E+03    0.17924459E+01    0.59636988E+01    0.77561447E+01    0.26942411E+02    0.30055943E+00    0.28787865E+00    0.18127471E+02    0.17681890E+02    0.20473777E+02
